ticker,name,forecast_date,pred_day,pred_close,last_close,upside_pct
FXI,iShares China Large-Cap ETF,2026-05-01,8,38.0956,37.11,2.66
FXI,iShares China Large-Cap ETF,2026-05-04,9,38.2262,37.11,3.01
FXI,iShares China Large-Cap ETF,2026-05-05,10,38.2202,37.11,2.99
FXI,iShares China Large-Cap ETF,2026-05-06,11,38.2618,37.11,3.1
FXI,iShares China Large-Cap ETF,2026-05-07,12,38.4532,37.11,3.62
FXI,iShares China Large-Cap ETF,2026-05-08,13,38.5729,37.11,3.94
FXI,iShares China Large-Cap ETF,2026-05-11,14,38.5962,37.11,4.0
FXI,iShares China Large-Cap ETF,2026-05-12,15,38.5776,37.11,3.95
FXI,iShares China Large-Cap ETF,2026-05-13,16,38.6316,37.11,4.1
FXI,iShares China Large-Cap ETF,2026-05-14,17,38.6692,37.11,4.2
FXI,iShares China Large-Cap ETF,2026-05-15,18,38.8788,37.11,4.77
FXI,iShares China Large-Cap ETF,2026-05-18,19,38.8982,37.11,4.82
FXI,iShares China Large-Cap ETF,2026-05-19,20,38.992,37.11,5.07
FXI,iShares China Large-Cap ETF,2026-05-20,21,39.0291,37.11,5.17
GOOGL,Alphabet Inc,2026-04-22,1,333.4661,332.29,0.35
GOOGL,Alphabet Inc,2026-04-23,2,337.0397,332.29,1.43
GOOGL,Alphabet Inc,2026-04-24,3,335.9188,332.29,1.09
GOOGL,Alphabet Inc,2026-04-27,4,335.5934,332.29,0.99
GOOGL,Alphabet Inc,2026-04-28,5,333.331,332.29,0.31
GOOGL,Alphabet Inc,2026-04-29,6,333.6168,332.29,0.4
GOOGL,Alphabet Inc,2026-04-30,7,330.8297,332.29,-0.44
GOOGL,Alphabet Inc,2026-05-01,8,332.0478,332.29,-0.07
GOOGL,Alphabet Inc,2026-05-04,9,332.5536,332.29,0.08
GOOGL,Alphabet Inc,2026-05-05,10,329.8917,332.29,-0.72
GOOGL,Alphabet Inc,2026-05-06,11,323.1592,332.29,-2.75
GOOGL,Alphabet Inc,2026-05-07,12,320.0574,332.29,-3.68
GOOGL,Alphabet Inc,2026-05-08,13,318.1039,332.29,-4.27
GOOGL,Alphabet Inc,2026-05-11,14,315.4896,332.29,-5.06
GOOGL,Alphabet Inc,2026-05-12,15,309.9131,332.29,-6.73
GOOGL,Alphabet Inc,2026-05-13,16,304.6184,332.29,-8.33
GOOGL,Alphabet Inc,2026-05-14,17,302.3528,332.29,-9.01
GOOGL,Alphabet Inc,2026-05-15,18,296.9466,332.29,-10.64
GOOGL,Alphabet Inc,2026-05-18,19,294.1718,332.29,-11.47
GOOGL,Alphabet Inc,2026-05-19,20,290.8823,332.29,-12.46
GOOGL,Alphabet Inc,2026-05-20,21,288.9572,332.29,-13.04
MELI,MercadoLibre Inc,2026-04-22,1,1872.5453,1854.1801,0.99
MELI,MercadoLibre Inc,2026-04-23,2,1881.6311,1854.1801,1.48
MELI,MercadoLibre Inc,2026-04-24,3,1887.645,1854.1801,1.8
MELI,MercadoLibre Inc,2026-04-27,4,1896.8197,1854.1801,2.3
MELI,MercadoLibre Inc,2026-04-28,5,1877.2969,1854.1801,1.25
MELI,MercadoLibre Inc,2026-04-29,6,1880.2007,1854.1801,1.4
MELI,MercadoLibre Inc,2026-04-30,7,1883.2131,1854.1801,1.57
MELI,MercadoLibre Inc,2026-05-01,8,1891.2662,1854.1801,2.0
MELI,MercadoLibre Inc,2026-05-04,9,1892.9242,1854.1801,2.09
MELI,MercadoLibre Inc,2026-05-05,10,1891.6185,1854.1801,2.02
MELI,MercadoLibre Inc,2026-05-06,11,1889.0249,1854.1801,1.88
MELI,MercadoLibre Inc,2026-05-07,12,1899.5385,1854.1801,2.45
MELI,MercadoLibre Inc,2026-05-08,13,1912.4417,1854.1801,3.14
MELI,MercadoLibre Inc,2026-05-11,14,1906.0096,1854.1801,2.8
MELI,MercadoLibre Inc,2026-05-12,15,1888.4777,1854.1801,1.85
MELI,MercadoLibre Inc,2026-05-13,16,1884.4159,1854.1801,1.63
MELI,MercadoLibre Inc,2026-05-14,17,1876.642,1854.1801,1.21
MELI,MercadoLibre Inc,2026-05-15,18,1879.1323,1854.1801,1.35
MELI,MercadoLibre Inc,2026-05-18,19,1894.4927,1854.1801,2.17
MELI,MercadoLibre Inc,2026-05-19,20,1902.418,1854.1801,2.6
MELI,MercadoLibre Inc,2026-05-20,21,1912.6002,1854.1801,3.15
MSFT,Microsoft Corp,2026-04-22,1,423.6476,424.16,-0.12
MSFT,Microsoft Corp,2026-04-23,2,423.4578,424.16,-0.17
MSFT,Microsoft Corp,2026-04-24,3,421.9133,424.16,-0.53
MSFT,Microsoft Corp,2026-04-27,4,421.9752,424.16,-0.52
MSFT,Microsoft Corp,2026-04-28,5,422.9061,424.16,-0.3
MSFT,Microsoft Corp,2026-04-29,6,422.8929,424.16,-0.3
MSFT,Microsoft Corp,2026-04-30,7,422.3586,424.16,-0.42
MSFT,Microsoft Corp,2026-05-01,8,423.6547,424.16,-0.12
MSFT,Microsoft Corp,2026-05-04,9,423.3715,424.16,-0.19
MSFT,Microsoft Corp,2026-05-05,10,422.804,424.16,-0.32
MSFT,Microsoft Corp,2026-05-06,11,420.2054,424.16,-0.93
MSFT,Microsoft Corp,2026-05-07,12,420.8496,424.16,-0.78
MSFT,Microsoft Corp,2026-05-08,13,420.6045,424.16,-0.84
MSFT,Microsoft Corp,2026-05-11,14,419.6372,424.16,-1.07
MSFT,Microsoft Corp,2026-05-12,15,420.1238,424.16,-0.95
MSFT,Microsoft Corp,2026-05-13,16,421.811,424.16,-0.55
MSFT,Microsoft Corp,2026-05-14,17,422.6498,424.16,-0.36
MSFT,Microsoft Corp,2026-05-15,18,424.5372,424.16,0.09
MSFT,Microsoft Corp,2026-05-18,19,425.7207,424.16,0.37
MSFT,Microsoft Corp,2026-05-19,20,425.799,424.16,0.39
MSFT,Microsoft Corp,2026-05-20,21,426.8455,424.16,0.63
NOW,ServiceNow Inc,2026-04-23,1,104.5504,102.39,2.11
NOW,ServiceNow Inc,2026-04-24,2,106.3352,102.39,3.85
NOW,ServiceNow Inc,2026-04-27,3,108.961,102.39,6.42
NOW,ServiceNow Inc,2026-04-28,4,110.6902,102.39,8.11
NOW,ServiceNow Inc,2026-04-29,5,112.9498,102.39,10.31
NOW,ServiceNow Inc,2026-04-30,6,115.0461,102.39,12.36
NOW,ServiceNow Inc,2026-05-01,7,116.2362,102.39,13.52
NOW,ServiceNow Inc,2026-05-04,8,119.2273,102.39,16.44
NOW,ServiceNow Inc,2026-05-05,9,121.6694,102.39,18.83
NOW,ServiceNow Inc,2026-05-06,10,123.0401,102.39,20.17
NOW,ServiceNow Inc,2026-05-07,11,124.2594,102.39,21.36
NOW,ServiceNow Inc,2026-05-08,12,125.3565,102.39,22.43
NOW,ServiceNow Inc,2026-05-11,13,125.7179,102.39,22.78
NOW,ServiceNow Inc,2026-05-12,14,127.3372,102.39,24.36
NOW,ServiceNow Inc,2026-05-13,15,129.0917,102.39,26.08
NOW,ServiceNow Inc,2026-05-14,16,131.4542,102.39,28.39
NOW,ServiceNow Inc,2026-05-15,17,134.5754,102.39,31.43
NOW,ServiceNow Inc,2026-05-18,18,135.7726,102.39,32.6
NOW,ServiceNow Inc,2026-05-19,19,136.9666,102.39,33.77
NOW,ServiceNow Inc,2026-05-20,20,137.8656,102.39,34.65
NOW,ServiceNow Inc,2026-05-21,21,139.9799,102.39,36.71
NU,Nu Holdings Ltd,2026-04-22,1,15.0527,15.05,0.02
NU,Nu Holdings Ltd,2026-04-23,2,15.1988,15.05,0.99
NU,Nu Holdings Ltd,2026-04-24,3,15.2292,15.05,1.19
NU,Nu Holdings Ltd,2026-04-27,4,15.2868,15.05,1.57
NU,Nu Holdings Ltd,2026-04-28,5,15.3169,15.05,1.77
NU,Nu Holdings Ltd,2026-04-29,6,15.472,15.05,2.8
NU,Nu Holdings Ltd,2026-04-30,7,15.5872,15.05,3.57
NU,Nu Holdings Ltd,2026-05-01,8,15.6629,15.05,4.07
