ticker,name,last_close,rating,murphy_score,trend_score,osc_score,adx,plus_di,minus_di,rsi,stoch_k,stoch_d,williams_r,roc,macd,sma50,sma200,atr,sig_ma_cross,sig_ma_align,sig_adx_di,sig_macd,sig_obv,sig_donchian,sig_rsi,sig_stoch,sig_williams,sig_roc
NXE,NexGen Energy,9.49,HOLD,0,-2,2,17.44,14.37,25.23,37.24,25.32,30.09,-81.61,2.37,-0.407,11.315,10.543,0.5697,1,-1,0,-1,-1,0,0,0,1,1
PM,Philip Morris International,180.095,HOLD,-1,0,-1,13.05,19.92,19.3,51.9,54.86,48.76,-43.97,-1.56,0.4105,176.3207,165.2956,4.6291,1,1,0,-1,-1,0,0,0,0,-1
UL,Unilever NV,60.765,HOLD,-1,0,-1,20.36,35.08,17.98,63.91,92.2,93.28,-6.44,3.62,0.7868,57.6585,63.91,0.9697,-1,1,0,1,-1,0,0,-1,-1,1
DOCU,DocuSign Inc,46.23,HOLD,-1,-1,0,15.23,21.26,20.15,50.96,54.87,33.43,-5.26,2.44,-1.1107,47.0779,57.7909,2.2767,-1,0,0,1,-1,0,0,0,-1,1
FCX,Freeport-McMoRan,61.305,HOLD,-1,-1,0,16.14,20.43,30.15,41.46,11.6,13.09,-93.25,-1.25,-0.3288,64.1083,54.8012,2.9388,1,0,0,-1,-1,0,0,0,1,-1
HPQ,HP Inc,22.565,HOLD,-1,-1,0,23.6,18.52,20.75,42.42,9.1,11.54,-93.42,-8.61,-0.0519,22.617,22.3914,1.0982,1,0,0,-1,-1,0,0,0,1,-1
MDLZ,Mondelez International,59.94,HOLD,-1,-1,0,14.35,20.66,21.64,43.43,24.35,33.13,-90.0,-6.61,-0.1289,60.8172,58.2983,1.4058,1,0,0,-1,-1,0,0,0,1,-1
MSI,Motorola Solutions,414.53,HOLD,-1,-1,0,22.09,23.06,19.0,56.19,55.02,38.87,-11.11,1.0,-2.7267,412.8038,419.7639,10.2373,-1,0,0,1,-1,0,0,0,-1,1
NOK,Nokia Corp,12.47,HOLD,-1,-1,0,19.14,19.94,30.98,40.01,17.61,19.48,-89.35,-6.94,-0.191,13.5968,8.472,0.9543,1,0,0,-1,-1,0,0,0,1,-1
NU,Nu Holdings Ltd,13.19,HOLD,-1,-1,0,19.61,29.1,22.48,57.21,71.32,60.7,-16.21,13.51,-0.03,13.1992,15.3143,0.4774,-1,0,0,1,-1,0,0,0,-1,1
QCOM,Qualcomm Inc,188.05,HOLD,-1,-1,0,17.72,25.45,26.65,42.16,15.46,18.01,-91.03,-1.65,-2.5135,199.3221,167.0635,17.0293,1,0,0,-1,-1,0,0,0,1,-1
ROST,Ross Stores,210.585,HOLD,-1,-1,0,18.98,18.15,35.06,33.86,4.15,9.04,-95.86,-9.2,-1.85,225.6999,192.8045,6.4978,1,0,0,-1,-1,0,0,0,1,-1
SWKS,Skyworks Solutions,66.68,HOLD,-1,-1,0,15.85,20.49,23.16,41.86,11.93,17.01,-88.73,-5.14,-0.6451,70.3256,65.5601,4.4173,1,0,0,-1,-1,0,0,0,1,-1
VZ,Verizon Communications,43.155,HOLD,-1,-1,0,20.02,14.06,34.69,34.32,31.83,39.36,-93.09,-8.08,-0.543,46.8827,44.1268,1.2692,1,-1,0,0,-1,0,0,0,1,-1
ZM,Zoom Video Communications,88.31,HOLD,-1,-1,0,23.3,22.32,31.08,42.79,18.17,12.65,-68.58,-6.01,-3.7439,97.1957,87.2626,4.0812,1,0,0,-1,-1,0,0,1,0,-1
BA,Boeing,216.05,HOLD,-1,-2,1,9.14,18.95,20.53,45.19,39.29,43.02,-65.37,3.37,-1.1375,223.9316,218.2787,6.7239,1,-1,0,-1,-1,0,0,0,0,1
DOW,Dow Inc,27.7,HOLD,-1,-2,1,23.97,13.51,38.12,19.7,6.9,8.04,-99.82,-19.1,-1.9286,35.4626,29.4742,1.3246,1,-1,0,-1,-1,0,1,0,1,-1
EQNR,Equinor ASA,31.22,HOLD,-1,-2,1,22.94,17.7,41.11,29.01,5.77,6.68,-94.88,-16.72,-1.725,36.8281,29.5935,1.09,1,-1,0,-1,-1,0,1,0,1,-1
ERIC,Ericsson LM,10.95,HOLD,-1,-2,1,22.53,17.84,35.65,35.58,4.3,3.52,-94.5,-5.6,-0.3961,12.1256,10.4703,0.3622,1,-1,0,-1,-1,0,0,1,1,-1
FMCC,Freddie Mac,6.06,HOLD,-1,-2,1,13.85,21.63,19.75,48.43,62.91,66.32,-49.67,8.41,-0.0603,6.4348,8.28,0.4551,-1,-1,0,1,-1,0,0,0,0,1
GGB,Gerdau SA,4.075,HOLD,-1,-2,1,19.83,20.5,31.88,35.1,5.49,5.25,-99.4,-9.85,-0.1229,4.5232,3.876,0.1453,1,-1,0,-1,-1,0,0,1,1,-1
